City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
New York,1,New York,4.8,8405837,40.7127837
Los Angeles,2,California,4.8,3884307,34.0522342
Chicago,3,Illinois,-6.1,2718782,41.8781136
Houston,4,Texas,11,2195914,29.7604267
Philadelphia,5,Pennsylvania,2.6,1553165,39.9525839
Phoenix,6,Arizona,14,1513367,33.4483771
San Antonio,7,Texas,21,1409019,29.4241219
San Diego,8,California,10.5,1355896,32.715738
Dallas,9,Texas,5.6,1257676,32.7766642
San Jose,10,California,10.5,998537,37.3382082
Austin,11,Texas,31.7,885400,30.267153
Indianapolis,12,Indiana,7.8,843393,39.768403
Jacksonville,13,Florida,14.3,842583,30.3321838
San Francisco,14,California,7.7,837442,37.7749295
Columbus,15,Ohio,14.8,822553,39.9611755
Charlotte,16,North Carolina,39.1,792862,35.2270869
Fort Worth,17,Texas,45.1,792727,32.7554883
Detroit,18,Michigan,-27.1,688701,42.331427
El Paso,19,Texas,19.4,674433,31.7775757
Memphis,20,Tennessee,-5.3,653450,35.1495343
Seattle,21,Washington,15.6,652405,47.6062095
Denver,22,Colorado,16.7,649495,39.7392358
Washington,23,District of Columbia,13,646449,38.9071923
Boston,24,Massachusetts,9.4,645966,42.3600825
Nashville,25,Tennessee,16.2,634464,36.1626638
Baltimore,26,Maryland,-4,622104,39.2903848
Oklahoma City,27,Oklahoma,20.2,610613,35.4675602
Louisville,28,Kentucky,10,609893,38.2526647
Portland,29,Oregon,15,609456,45.5230622
Las Vegas,30,Nevada,24.5,603488,36.1699412
Milwaukee,31,Wisconsin,0.3,599164,43.0389025
Albuquerque,32,New Mexico,23.5,556495,35.0853336
Tucson,33,Arizona,7.5,526116,32.2217429
Fresno,34,California,18.3,509924,36.7468422
Sacramento,35,California,17.2,479686,38.5815719
Long Beach,36,California,1.5,469428,33.7700504
Kansas City,37,Missouri,5.5,467007,39.0997265
Mesa,38,Arizona,13.5,457587,33.4151843
Virginia Beach,39,Virginia,5.1,448479,36.8529263
Atlanta,40,Georgia,6.2,447841,33.7489954
Colorado Springs,41,Colorado,21.4,439886,38.8338816
Omaha,42,Nebraska,5.9,434353,41.2523634
Raleigh,43,North Carolina,48.7,431746,35.7795897
Miami,44,Florida,14.9,417650,25.7616798
Oakland,45,California,1.3,406253,37.8043637
Minneapolis,46,Minnesota,4.5,400070,44.977753
Tulsa,47,Oklahoma,1.3,398121,36.1539816
Cleveland,48,Ohio,-18.1,390113,41.49932
Wichita,49,Kansas,9.7,386552,37.688889
Arlington,50,Texas,13.3,379577,32.735687
New Orleans,51,Louisiana,-21.6,378715,29.9510658
Bakersfield,52,California,48.4,363630,35.3732921
Tampa,53,Florida,16,352957,27.950575
Honolulu,54,Hawaii,-6.2,347884,21.3069444
Aurora,55,Colorado,24.4,345803,39.7294319
Anaheim,56,California,4.7,345012,33.8352932
Santa Ana,57,California,-1.2,334227,33.7455731
St. Louis,58,Missouri,-8.2,318416,38.6270025
Riverside,59,California,22.5,316619,33.9533487
